Sample Number,Sampled Point Number,Latitude + Longitude,Heading,Date,Image Name,Road Types,Web Link
118,30,"13.7128027967,100.471199401",E,2012-01,0000000118_13.7128027967_100.471199401_E.jpg,"primary_link,tertiary",https://drive.google.com/uc?id=0B7dZI0Kce2cScEE3MmFPVHJyejg
119,30,"13.7128027967,100.471199401",S,2012-01,0000000119_13.7128027967_100.471199401_S.jpg,"primary_link,tertiary",https://drive.google.com/uc?id=0B7dZI0Kce2cSZUlFZ2Y0ZkRKSWc
120,30,"13.7128027967,100.471199401",W,2012-01,0000000120_13.7128027967_100.471199401_W.jpg,"primary_link,tertiary",https://drive.google.com/uc?id=0B7dZI0Kce2cSRTEyNlFTcVU0bWc
121,31,"13.6416662998,100.6223272",N,2012-03,0000000121_13.6416662998_100.6223272_N.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSaXMwLWJoaTd1RWs
122,31,"13.6416662998,100.6223272",E,2012-03,0000000122_13.6416662998_100.6223272_E.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSMHR3Mlc5cC0xMDA
123,31,"13.6416662998,100.6223272",S,2012-03,0000000123_13.6416662998_100.6223272_S.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSUlh5Vy1QdC00eXc
124,31,"13.6416662998,100.6223272",W,2012-03,0000000124_13.6416662998_100.6223272_W.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSZU52M3ZPU1lfc3c
125,32,"13.7270547003,100.4244845",N,2012-01,0000000125_13.7270547003_100.4244845_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSNkxaTnVrUzZINkk
126,32,"13.7270547003,100.4244845",E,2012-01,0000000126_13.7270547003_100.4244845_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSZ3JpT3kyWFJIbWs
127,32,"13.7270547003,100.4244845",S,2012-01,0000000127_13.7270547003_100.4244845_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSSjNfY1ZPdmhGR00
128,32,"13.7270547003,100.4244845",W,2012-01,0000000128_13.7270547003_100.4244845_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSaTV0TURrR0tHQVk
129,33,"13.7905515002,100.6893945",N,2012-01,0000000129_13.7905515002_100.6893945_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSZHgyNmludVBXcUU
130,33,"13.7905515002,100.6893945",E,2012-01,0000000130_13.7905515002_100.6893945_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSaEthODQ0emxUYkE
131,33,"13.7905515002,100.6893945",S,2012-01,0000000131_13.7905515002_100.6893945_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSLWkxNFlqai1SRnM
132,33,"13.7905515002,100.6893945",W,2012-01,0000000132_13.7905515002_100.6893945_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSVEtVS0RwTk5NTEU
133,34,"13.7792211999,100.5099676",N,2012-02,0000000133_13.7792211999_100.5099676_N.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSaHZSV2I3SXJNWmc
134,34,"13.7792211999,100.5099676",E,2012-02,0000000134_13.7792211999_100.5099676_E.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSaVp1NjVvRWdpWFk
135,34,"13.7792211999,100.5099676",S,2012-02,0000000135_13.7792211999_100.5099676_S.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSX01EWmM1OHg3bTQ
